file,input_bytes,tokens,elapsed_us,throughput_mb_s,code_size_bytes,success
D:\大三下\编译原理与技术\实验\大作业\lexer-research-lab\benchmarks\corpora\small.sy,1073,248,0,0,67,true
file,input_bytes,tokens,elapsed_us,throughput_mb_s,code_size_bytes,success
D:\大三下\编译原理与技术\实验\大作业\lexer-research-lab\benchmarks\corpora\medium.sy,53393,10968,15833,3.21604,67,true
file,input_bytes,tokens,elapsed_us,throughput_mb_s,code_size_bytes,success
D:\大三下\编译原理与技术\实验\大作业\lexer-research-lab\benchmarks\corpora\large.sy,1091152,212883,134535,7.73482,67,true
file,input_bytes,tokens,elapsed_us,throughput_mb_s,code_size_bytes,success
D:\大三下\编译原理与技术\实验\大作业\lexer-research-lab\benchmarks\corpora\comments_heavy.sy,219560,20001,25799,8.11616,67,true
file,input_bytes,tokens,elapsed_us,throughput_mb_s,code_size_bytes,success
D:\大三下\编译原理与技术\实验\大作业\lexer-research-lab\benchmarks\corpora\identifiers_heavy.sy,346682,60001,46175,7.16019,67,true
file,input_bytes,tokens,elapsed_us,throughput_mb_s,code_size_bytes,success
D:\大三下\编译原理与技术\实验\大作业\lexer-research-lab\benchmarks\corpora\malformed_mixed.sy,54,7,11979,0.00429906,67,false
D:\大三下\编译原理与技术\实验\大作业\lexer-research-lab\benchmarks\corpora\small.sy,1073,248,10308,0.0992717,67,true
D:\大三下\编译原理与技术\实验\大作业\lexer-research-lab\benchmarks\corpora\medium.sy,53393,10968,17226,2.95597,67,true
D:\大三下\编译原理与技术\实验\大作业\lexer-research-lab\benchmarks\corpora\large.sy,1091152,212883,122638,8.48516,67,true
D:\大三下\编译原理与技术\实验\大作业\lexer-research-lab\benchmarks\corpora\comments_heavy.sy,219560,20001,22210,9.42768,67,true
D:\大三下\编译原理与技术\实验\大作业\lexer-research-lab\benchmarks\corpora\identifiers_heavy.sy,346682,60001,47575,6.94948,67,true
D:\大三下\编译原理与技术\实验\大作业\lexer-research-lab\benchmarks\corpora\malformed_mixed.sy,54,7,7643,0.00673798,67,false
benchmarks\corpora\large.sy,1091152,212883,130929,7.94785,67,true
D:\大三下\编译原理与技术\实验\大作业\lexer-research-lab\benchmarks\corpora\small.sy,1073,248,1,1023.29,67,true
D:\大三下\编译原理与技术\实验\大作业\lexer-research-lab\benchmarks\corpora\medium.sy,53393,10968,13813,3.68635,67,true
D:\大三下\编译原理与技术\实验\大作业\lexer-research-lab\benchmarks\corpora\large.sy,1091152,212883,131893,7.88976,67,true
D:\大三下\编译原理与技术\实验\大作业\lexer-research-lab\benchmarks\corpora\comments_heavy.sy,219560,20001,17971,11.6515,67,true
D:\大三下\编译原理与技术\实验\大作业\lexer-research-lab\benchmarks\corpora\identifiers_heavy.sy,346682,60001,50183,6.58832,67,true
D:\大三下\编译原理与技术\实验\大作业\lexer-research-lab\benchmarks\corpora\malformed_mixed.sy,54,7,10586,0.00486477,67,false
benchmarks\corpora\large.sy,1091152,212883,136460,7.6257,67,true
D:\大三下\编译原理与技术\实验\大作业\lexer-research-lab\benchmarks\corpora\small.sy,1073,248,10610,0.096446,67,true
D:\大三下\编译原理与技术\实验\大作业\lexer-research-lab\benchmarks\corpora\medium.sy,53393,10968,17319,2.9401,67,true
D:\大三下\编译原理与技术\实验\大作业\lexer-research-lab\benchmarks\corpora\large.sy,1091152,212883,148317,7.01608,67,true
D:\大三下\编译原理与技术\实验\大作业\lexer-research-lab\benchmarks\corpora\comments_heavy.sy,219560,20001,20977,9.98182,67,true
D:\大三下\编译原理与技术\实验\大作业\lexer-research-lab\benchmarks\corpora\identifiers_heavy.sy,346682,60001,48534,6.81217,67,true
D:\大三下\编译原理与技术\实验\大作业\lexer-research-lab\benchmarks\corpora\malformed_mixed.sy,54,7,11249,0.00457804,67,false
D:\大三下\编译原理与技术\实验\大作业\lexer-research-lab\benchmarks\corpora\small.sy,1073,248,11478,0.0891525,67,true
D:\大三下\编译原理与技术\实验\大作业\lexer-research-lab\benchmarks\corpora\medium.sy,53393,10968,17075,2.98211,67,true
D:\大三下\编译原理与技术\实验\大作业\lexer-research-lab\benchmarks\corpora\large.sy,1091152,212883,128946,8.07007,67,true
D:\大三下\编译原理与技术\实验\大作业\lexer-research-lab\benchmarks\corpora\comments_heavy.sy,219560,20001,21305,9.82815,67,true
D:\大三下\编译原理与技术\实验\大作业\lexer-research-lab\benchmarks\corpora\identifiers_heavy.sy,346682,60001,48186,6.86136,67,true
D:\大三下\编译原理与技术\实验\大作业\lexer-research-lab\benchmarks\corpora\malformed_mixed.sy,54,7,10319,0.00499064,67,false
